and,710241
the,500821
to,439194
of,408616
in,401870
is,350974
s,346103
ed,326989
for,325565
as,322394
ing,317503
ofthe,306579
that,301126
was,297930
inthe,282687
on,276729
with,267246
at,253800
or,235228
by,222586
but,221531
sand,220695
an,218674
it,216663
this,206703
from,206319
are,199386
er,196386
es,176253
which,164645
all,155019
a,141123
its,139293
tothe,133943
them,132893
his,131373
sof,131281
i,128772
had,127123
al,126042
then,125841
un,125609
if,121366
onthe,119368
y,118019
you,113694
they,112723
edto,111551
en,111396
when,111371
their,110906
there,109875
not,107370
ad,107144
thes,106341
one,106341
edby,105714
her,105671
p,101703
ers,101690
ly,99883
ar,97502
over,97377
sto,97135
o,96719
am,96394
d,95947
up,95907
about,95157
ingthe,94856
t,94525
edin,94333
itwas,94209
m,94042
has,93936
edthe,92663
only,91756
itis,91521
esand,91349
us,90748
andthe,90123
ap,89349
what,89215
e,89073
be,88857
more,88697
c,88666
sin,88597
re,87989
b,87551
were,86156
he,85345
ac,85186
now,85052
will,84511
off,84469
any,83002
est,82705
id,82655
em,82369
et,82345
el,82190
work,81290
ec,80793
g,80719
into,80656
after,79680
forthe,79678
ation,79188
your,79122
out,78951
ic,78924
l,78184
our,77657
n,77182
other,76741
f,76384
my,75723
ings,75119
im,75024
edand,74578
ate,74324
r,73577
sh,73449
h,72657
tobe,72438
w,72196
just,71044
have,70883
well,70658
would,70271
no,70119
th,69919
ag,69518
af,69192
ands,67137
sp,67122
se,66499
ab,65100
able,65084
before,65061
being,64657
tof,64415
where,64189
fromthe,62999
withthe,62837
very,62645
le,62069
ated,61765
st,61607
under,61398
thed,61224
ingand,61116
ep,60906
k,60754
back,59949
ist,59802
u,59771
ant,59524
form,59473
end,59073
me,58960
ingto,58893
atthe,58636
him,58454
because,58099
ent,57991
new,56950
thatthe,56905
esof,56860
ay,55774
than,55629
v,55507
thec,55141
man,55071
through,55036
old,54944
like,54843
can,54583
both,54522
ast,54172
people,54030
between,53935
ill,53730
thef,53500
so,53474
os,53168
sthe,52899
we,52763
ive,52457
sc,52165
als,52026
erm,52011
such,51756
ir,51645
good,51567
il,50871
way,50844
2,50528
thep,50243
edwith,49892
1,49852
ew,49759
even,49698
aw,48914
ah,48750
ind,48633
sare,48532
how,48470
may,48304
she,48194
hewas,48179
ts,48132
ish,48127
ess,47887
om,47637
who,47200
ies,47102
ash,46907
ss,46750
again,46617
son,46580
these,45832
ot,45796
ef,45682
down,45082
ys,45064
another,44802
top,44559
ch,44457
ol,44410
dis,44207
tor,44173
do,43978
op,43975
ther,43973
3,43807
sm,43683
ins,43464
ere,43397
right,43348
time,43132
still,42995
ur,42915
4,42808
ow,42801
men,42657
ons,42614
edas,42579
ity,42558
yand,42550
theb,42544
ro,42200
get,41900
those,41893
here,41875
de,41377
ating,41126
mr,41125
day,40894
many,40885
inc,40817
edon,40814
thisis,40688
first,40607
od,40143
esto,40130
aid,40045
also,40021
5,39859
could,39517
ans,39426
while,39418
ak,39394
ell,39344
ationof,39213
though,39206
said,39091
however,38955
some,38948
land,38682
ain,38643
iv,38463
should,38304
per,38275
against,38139
thereis,38133
ations,38131
anc,38084
ally,37862
andm,37696
less,37664
edfor,37647
ism,37619
oh,37609
softhe,37473
tom,37469
although,37154
bed,36856
edthat,36852
ach,36845
most,36805
go,36724
open,36554
av,36374
j,36341
thel,36339
group,36184
ingin,36161
act,36149
therewas,36061
thefirst,36023
z,35895
um,35882
been,35875
ide,35807
made,35750
age,35664
ine,35653
6,35523
ates,35512
ass,35416
edinthe,35413
thats,35286
ous,35199
use,35077
10,35039
ore,34934
away,34900
ian,34805
ear,34656
year,34622
ou,34431
yes,34214
iwas,34165
hand,34051
eds,34044
ard,34024
tr,33912
why,33867
thereare,33850
ones,33776
esin,33723
ens,33690
iss,33687
show,33637
found,33485
